"MONTH","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"2020-11",8156,7533,8155,0,0
"2020-12",8098,7398,8095,0,0
"2021-01",8291,7583,8291,0,0
"2021-02",7054,6547,7053,0,0
"2021-03",8485,7846,8484,0,0
"2021-04",8017,7382,8017,0,0
"2021-05",7854,7190,7853,0,0
"2021-06",8202,7558,8202,0,0
"2021-07",8202,7548,8202,0,0
"2021-08",8571,7905,8570,0,0
"2021-09",7655,7064,7655,0,0
"2021-10",7563,6965,7562,0,0
